Device Name;Device Custom Name;Device Type;Component Name;Component Custom Name;Group;First Activity;Last Activity;IP;MAC;Risk Score;External Communication;Tags;Activities;Vuln;Var;VLAN ID;Vendor;OS;Model;Project;Hardware Version;Firmware Version;Serial Number;Sensors;License Required
;;;10.1.3.11;;;2026-02-09 19:24:15.018 +0000 UTC;2026-02-09 19:24:22.272 +0000 UTC;10.1.3.11;00:00:54:64:35:90;;No;OPC server/Controller;3;22;0;;Schneider Electric;;BMEP586040;;;3.30;;CVTrafficGen01;No
;;;10.1.4.10;;;2026-02-09 19:24:13.336 +0000 UTC;2026-02-09 19:24:22.194 +0000 UTC;10.1.4.10;00:24:cb:91:69:b5;;No;Engineering Station/Controller;5;0;0;;ABB;;PM590-ETH;;;V3.1.2;;CVTrafficGen01;No
;;;10.1.4.16;;;2026-02-09 19:24:22.113 +0000 UTC;2026-02-09 19:24:22.194 +0000 UTC;10.1.4.16;00:24:cb:56:a0:a7;;No;Controller;1;0;0;;ABB;;ACS880-01;;;V2.60;;CVTrafficGen01;No
;;;10.1.0.12;;;2026-02-09 19:24:15.264 +0000 UTC;2026-02-09 19:24:22.161 +0000 UTC;10.1.0.12;02:00:00:17:1c:90;;No;Locally Administered MAC/OPC server;5;0;0;;;;;;;;;CVTrafficGen01;No
;;;10.1.1.10;;;2026-02-09 19:24:15.551 +0000 UTC;2026-02-09 19:24:22.161 +0000 UTC;10.1.1.10;00:0e:8c:b9:a7:b4;;No;;5;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.2.12;;;2026-02-09 19:24:15.264 +0000 UTC;2026-02-09 19:24:22.064 +0000 UTC;10.1.2.12;00:1d:9c:2a:33:fd;;No;;3;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.0.16;;;2026-02-09 19:24:15.72 +0000 UTC;2026-02-09 19:24:22.064 +0000 UTC;10.1.0.16;00:1b:1b:95:47:61;;No;Engineering Station;3;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.1.23;;;2026-02-09 19:24:21.73 +0000 UTC;2026-02-09 19:24:21.939 +0000 UTC;10.1.1.23;00:0e:8c:22:f5:04;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.4.13;;;2026-02-09 19:24:13.66 +0000 UTC;2026-02-09 19:24:21.711 +0000 UTC;10.1.4.13;00:21:99:d7:ed:52;;No;OPC server/Controller;4;0;0;;ABB;;PM583-ETH;;;V3.0.4;;CVTrafficGen01;No
;;;10.1.0.15;;;2026-02-09 19:24:21.603 +0000 UTC;2026-02-09 19:24:21.711 +0000 UTC;10.1.0.15;00:30:11:d4:ba:28;;No;Engineering Station;1;0;0;;HMS Industrial Networks;;;;;;;CVTrafficGen01;No
;;;Siemens b9:a7:b4;;;2026-02-09 19:24:15.319 +0000 UTC;2026-02-09 19:24:21.561 +0000 UTC;;00:0e:8c:b9:a7:b4;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.3.13;;;2026-02-09 19:24:15.72 +0000 UTC;2026-02-09 19:24:21.486 +0000 UTC;10.1.3.13;00:00:54:6d:e8:66;;No;Engineering Station/OPC server/Controller;3;5;0;;Schneider Electric;;BMXP3420302;;;V3.40;;CVTrafficGen01;No
;;;10.1.0.18;;;2026-02-09 19:24:15.071 +0000 UTC;2026-02-09 19:24:21.406 +0000 UTC;10.1.0.18;00:06:71:f5:25:a8;;No;Engineering Station;2;0;0;;Softing AG;;;;;;;CVTrafficGen01;No
;;;10.1.3.21;;;2026-02-09 19:24:21.242 +0000 UTC;2026-02-09 19:24:21.361 +0000 UTC;10.1.3.21;ec:fa:aa:e8:64:be;;No;Controller;1;0;0;;Schneider Electric;;LXM32MD18M2;;;V2.62;;CVTrafficGen01;No
;;;10.1.0.11;;;2026-02-09 19:24:15.929 +0000 UTC;2026-02-09 19:24:21.157 +0000 UTC;10.1.0.11;00:12:a9:d5:01:06;;No;;3;0;0;;3Com Ltd;;;;;;;CVTrafficGen01;No
;;;10.1.2.11;;;2026-02-09 19:24:14.47 +0000 UTC;2026-02-09 19:24:21.157 +0000 UTC;10.1.2.11;00:1d:9c:48:52:54;;No;Engineering Station/OPC server/Controller;6;0;0;;Rockwell Automation/Allen-Bradley;;1756-L85E;;;V35.011;;CVTrafficGen01;No
;;;10.1.4.18;;;2026-02-09 19:24:20.97 +0000 UTC;2026-02-09 19:24:21.025 +0000 UTC;10.1.4.18;00:20:99:a1:0b:ef;;No;Controller;1;0;0;;ABB;;ACS880-01;;;V2.60;;CVTrafficGen01;No
;;;10.1.4.12;;;2026-02-09 19:24:14.775 +0000 UTC;2026-02-09 19:24:21.025 +0000 UTC;10.1.4.12;00:24:cb:e3:fd:46;;No;Engineering Station/Controller;4;0;0;;ABB;;PM583-ETH;;;V3.0.4;;CVTrafficGen01;No
;;;10.1.2.14;;;2026-02-09 19:24:16.419 +0000 UTC;2026-02-09 19:24:20.955 +0000 UTC;10.1.2.14;08:61:95:db:c9:e2;;No;OPC server;5;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.2.13;;;2026-02-09 19:24:15.332 +0000 UTC;2026-02-09 19:24:20.955 +0000 UTC;10.1.2.13;e4:90:69:31:01:7c;;No;OPC server;3;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.3.10;;;2026-02-09 19:24:14.239 +0000 UTC;2026-02-09 19:24:20.842 +0000 UTC;10.1.3.10;00:00:54:f8:2f:c6;;No;Engineering Station;3;0;0;;Schneider Electric;;;;;;;CVTrafficGen01;No
;;;10.1.7.12;;;2026-02-09 19:24:20.774 +0000 UTC;2026-02-09 19:24:20.842 +0000 UTC;10.1.7.12;00:00:54:c4:0b:45;;No;Controller;1;0;0;;Schneider Electric;;TM3DI32K;;;V2.1;;CVTrafficGen01;No
;;;10.1.2.28;;;2026-02-09 19:24:19.831 +0000 UTC;2026-02-09 19:24:20.719 +0000 UTC;10.1.2.28;08:61:95:4c:aa:ca;;No;;1;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.1.11;;;2026-02-09 19:24:13.479 +0000 UTC;2026-02-09 19:24:20.603 +0000 UTC;10.1.1.11;00:0e:8c:65:86:e3;;No;Engineering Station/Controller/Siemens;3;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.4.26;;;2026-02-09 19:24:19.264 +0000 UTC;2026-02-09 19:24:20.317 +0000 UTC;10.1.4.26;00:0e:b3:de:a1:69;;No;;1;0;0;;Hewlett Packard;;;;;;;CVTrafficGen01;No
;;;10.1.3.15;;;2026-02-09 19:24:19.932 +0000 UTC;2026-02-09 19:24:20.118 +0000 UTC;10.1.3.15;00:80:f4:c8:83:6c;;No;Engineering Station;1;0;0;;TELEMECANIQUE ELECTRIQUE;;;;;;;CVTrafficGen01;No
;;;10.1.2.30;;;2026-02-09 19:24:19.055 +0000 UTC;2026-02-09 19:24:19.9 +0000 UTC;10.1.2.30;00:00:bc:8f:ec:2e;;No;;1;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.1.12;;;2026-02-09 19:24:16.282 +0000 UTC;2026-02-09 19:24:19.758 +0000 UTC;10.1.1.12;00:1b:1b:27:19:2c;;No;Controller/Siemens;2;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.1.13;;;2026-02-09 19:24:14.098 +0000 UTC;2026-02-09 19:24:19.58 +0000 UTC;10.1.1.13;00:1c:06:bd:cc:19;;No;OPC server/Controller/Siemens;4;0;0;;Siemens Numerical Control Ltd., Nanjing;;;;;;;CVTrafficGen01;No
;;;10.1.0.14;;;2026-02-09 19:24:13.479 +0000 UTC;2026-02-09 19:24:19.58 +0000 UTC;10.1.0.14;5c:88:16:85:5d:14;;No;;2;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.3.23;;;2026-02-09 19:24:19.462 +0000 UTC;2026-02-09 19:24:19.553 +0000 UTC;10.1.3.23;00:80:f4:2a:f7:94;;No;Controller;1;0;0;;Schneider Electric;;LXM32MD18M2;;;V2.62;;CVTrafficGen01;No
;;;10.1.2.10;;;2026-02-09 19:24:14.006 +0000 UTC;2026-02-09 19:24:19.429 +0000 UTC;10.1.2.10;00:00:bc:1d:9d:96;;No;OPC server;2;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.2.27;;;2026-02-09 19:24:18.131 +0000 UTC;2026-02-09 19:24:18.6 +0000 UTC;10.1.2.27;08:61:95:34:5c:d4;;No;;1;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.1.17;;;2026-02-09 19:24:18.401 +0000 UTC;2026-02-09 19:24:18.571 +0000 UTC;10.1.1.17;00:0e:8c:b9:be:f8;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.1.28;;;2026-02-09 19:24:18.104 +0000 UTC;2026-02-09 19:24:18.256 +0000 UTC;10.1.1.28;00:1b:1b:fc:22:24;;No;;1;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.4.23;;;2026-02-09 19:24:17.106 +0000 UTC;2026-02-09 19:24:18.062 +0000 UTC;10.1.4.23;00:06:b6:96:3f:c9;;No;;1;0;0;;Nir-Or Israel Ltd.;;;;;;;CVTrafficGen01;No
;;;10.1.4.11;;;2026-02-09 19:24:16.763 +0000 UTC;2026-02-09 19:24:18.062 +0000 UTC;10.1.4.11;00:20:99:af:79:2c;;No;OPC server;2;0;0;;BON ELECTRIC CO., LTD.;;;;;;;CVTrafficGen01;No
;;;Siemens 65:86:e3;;;2026-02-09 19:24:17.963 +0000 UTC;2026-02-09 19:24:17.963 +0000 UTC;;00:0e:8c:65:86:e3;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.1.26;;;2026-02-09 19:24:17.605 +0000 UTC;2026-02-09 19:24:17.87 +0000 UTC;10.1.1.26;00:1c:06:6c:bf:7e;;No;;1;0;0;;Siemens Numerical Control Ltd., Nanjing;;;;;;;CVTrafficGen01;No
;;;Siemens bd:cc:19;;;2026-02-09 19:24:17.425 +0000 UTC;2026-02-09 19:24:17.425 +0000 UTC;;00:1c:06:bd:cc:19;;No;;1;0;0;;Siemens Numerical Control Ltd., Nanjing;;;;;;;CVTrafficGen01;No
;;;10.1.1.16;;;2026-02-09 19:24:16.645 +0000 UTC;2026-02-09 19:24:17.062 +0000 UTC;10.1.1.16;00:0e:8c:88:2e:69;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.3.17;;;2026-02-09 19:24:16.584 +0000 UTC;2026-02-09 19:24:16.911 +0000 UTC;10.1.3.17;ec:fa:aa:8e:bf:36;;No;Controller;1;1;0;;Schneider Electric;;ATV930D15N4;;;V3.6IE50;;CVTrafficGen01;No
;;;10.1.1.19;;;2026-02-09 19:24:16.282 +0000 UTC;2026-02-09 19:24:16.402 +0000 UTC;10.1.1.19;00:1b:1b:ab:90:53;;No;;1;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;Siemens 27:19:2c;;;2026-02-09 19:24:16.213 +0000 UTC;2026-02-09 19:24:16.213 +0000 UTC;;00:1b:1b:27:19:2c;;No;;1;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.7.10;;;2026-02-09 19:24:15.819 +0000 UTC;2026-02-09 19:24:15.901 +0000 UTC;10.1.7.10;00:00:54:bf:a8:07;;No;Controller;1;0;0;;Schneider Electric;;TM3DI32K;;;V2.1;;CVTrafficGen01;No
;;;10.1.5.12;;;2026-02-09 19:24:15.551 +0000 UTC;2026-02-09 19:24:15.678 +0000 UTC;10.1.5.12;00:1b:1b:d8:85:7e;;No;;1;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.4.24;;;2026-02-09 19:24:14.775 +0000 UTC;2026-02-09 19:24:15.305 +0000 UTC;10.1.4.24;00:06:b6:e8:6b:7f;;No;;1;0;0;;Nir-Or Israel Ltd.;;;;;;;CVTrafficGen01;No
;;;10.1.0.20;;;2026-02-09 19:24:13.379 +0000 UTC;2026-02-09 19:24:15.234 +0000 UTC;10.1.0.20;00:15:5d:bd:05:72;;No;Net Management Server;1;0;0;;Microsoft Corporation;;;;;;;CVTrafficGen01;No
;;;Rockwell_Zone_Switch_1;;;2026-02-09 19:24:13.379 +0000 UTC;2026-02-09 19:24:15.234 +0000 UTC;10.1.2.33;00:1d:9c:01:89:e1;;No;Cisco/SNMP Agent;1;0;0;;Rockwell;;;;;;;CVTrafficGen01;No
;;;Rockwell_Zone_Switch_2;;;2026-02-09 19:24:13.426 +0000 UTC;2026-02-09 19:24:14.869 +0000 UTC;10.1.2.34;00:1d:9c:b1:c2:14;;No;Cisco/SNMP Agent;1;0;0;;Rockwell Automation;;;;;;;CVTrafficGen01;No
;;;10.1.3.26;;;2026-02-09 19:24:14.658 +0000 UTC;2026-02-09 19:24:14.743 +0000 UTC;10.1.3.26;00:80:f4:83:ad:32;;No;Controller;1;0;0;;Schneider Electric;;STBNIP2311;;;V6.20;;CVTrafficGen01;No
;;;10.1.3.24;;;2026-02-09 19:24:14.239 +0000 UTC;2026-02-09 19:24:14.369 +0000 UTC;10.1.3.24;00:80:f4:e9:48:1b;;No;Controller;1;0;0;;Schneider Electric;;STBNIP2311;;;V6.20;;CVTrafficGen01;No
;;;10.1.4.25;;;2026-02-09 19:24:13.66 +0000 UTC;2026-02-09 19:24:14.312 +0000 UTC;10.1.4.25;00:06:b6:85:1f:1c;;No;;1;0;0;;Nir-Or Israel Ltd.;;;;;;;CVTrafficGen01;No
;;;10.1.1.30;;;2026-02-09 19:24:13.558 +0000 UTC;2026-02-09 19:24:13.71 +0000 UTC;10.1.1.30;00:0e:8c:de:61:dd;;No;;1;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.4.14;;;2026-02-09 19:24:13.336 +0000 UTC;2026-02-09 19:24:13.393 +0000 UTC;10.1.4.14;00:24:2b:f4:87:f6;;No;Engineering Station;1;0;0;;Hon Hai Precision Ind. Co.,Ltd.;;;;;;;CVTrafficGen01;No
